"","sample_id","phylo_div","SR"
"313","AD1_2007__Hatfield 1 366 97__2003-07-09",5,1
"314","AD1_2007__Hatfield 1 366 98__2003-07-09",5,1
"315","AD1_2007__Hatfield 1 366 99__2003-07-09",5,1
"316","AD1_2007__Hatfield 1 367 100__2003-07-09",5,1
"317","AD1_2007__Hatfield 1 367 101__2003-07-09",5,1
"318","AD1_2007__Hatfield 1 367 102__2003-07-09",5,1
"319","AD1_2007__Hatfield 1 367 40__2002-07-13",5,1
"320","AD1_2007__Hatfield 1 367 41__2002-07-13",5,1
"321","AD1_2007__Hatfield 1 371 103__2003-07-09",5,1
"322","AD1_2007__Hatfield 1 371 104__2003-07-09",5,1
"323","AD1_2007__Hatfield 1 371 105__2003-07-09",5,1
"324","AD1_2007__Hatfield 1 371 43__2002-07-13",5,1
"325","AD1_2007__Hatfield 1 371 44__2002-07-13",5,1
"326","AD1_2007__Hatfield 1 376 106__2003-07-09",5,1
"327","AD1_2007__Hatfield 1 376 107__2003-07-09",5,1
"328","AD1_2007__Hatfield 1 376 108__2003-07-09",5,1
"329","AD1_2007__Hatfield 1 376 46__2002-07-13",5,1
"330","AD1_2007__Hatfield 1 396 118__2003-07-09",5,1
"331","AD1_2007__Hatfield 1 396 119__2003-07-09",5,1
"332","AD1_2007__Hatfield 1 396 120__2003-07-09",5,1
"333","AD1_2007__Hatfield 1 396 58__2002-07-13",5,1
"334","AD1_2007__Hatfield 1 396 60__2002-07-13",5,1
"335","AD1_2007__Hatfield 1 601 109__2003-07-09",5,1
"336","AD1_2007__Hatfield 1 601 110__2003-07-09",5,1
"337","AD1_2007__Hatfield 1 601 111__2003-07-09",5,1
"338","AD1_2007__Hatfield 1 601 49__2002-07-13",5,1
"339","AD1_2007__Hatfield 1 601 50__2002-07-13",5,1
"340","AD1_2007__Hatfield 1 601 51__2002-07-13",5,1
"341","AD1_2007__Hatfield 1 606 115__2003-07-09",5,1
"342","AD1_2007__Hatfield 1 606 116__2003-07-09",5,1
"343","AD1_2007__Hatfield 1 606 117__2003-07-09",5,1
"344","AD1_2007__Hatfield 1 606 55__2002-07-13",5,1
"345","AD1_2007__Hatfield 1 606 56__2002-07-13",5,1
"346","AD1_2007__Hatfield 1 606 57__2002-07-13",5,1
"347","AD1_2007__Herrmann 1  10__2005-08-10",5,1
"348","AD1_2007__Herrmann 1  11__2005-08-10",5,1
"349","AD1_2007__Herrmann 1  12__2005-08-10",5,1
"350","AD1_2007__Herrmann 1  13__2005-08-10",5,1
"351","AD1_2007__Herrmann 1  1__2005-08-10",5,1
"352","AD1_2007__Herrmann 1  2__2005-08-10",5,1
"353","AD1_2007__Herrmann 1  3__2005-08-10",5,1
"354","AD1_2007__Herrmann 1  4__2005-08-10",5,1
"355","AD1_2007__Herrmann 1  5__2005-08-10",5,1
"356","AD1_2007__Herrmann 1  6__2005-08-10",5,1
"357","AD1_2007__Herrmann 1  7__2005-08-10",5,1
"358","AD1_2007__Herrmann 1  8__2005-08-10",5,1
"359","AD1_2007__Herrmann 1  9__2005-08-10",5,1
"360","AD1_2007__Herrmann 2  10__2005-08-10",5,1
"361","AD1_2007__Herrmann 2  11__2005-08-10",5,1
"362","AD1_2007__Herrmann 2  12__2005-08-10",5,1
"363","AD1_2007__Herrmann 2  13__2005-08-10",5,1
"364","AD1_2007__Herrmann 2  1__2005-08-10",5,1
"365","AD1_2007__Herrmann 2  2__2005-08-10",5,1
"366","AD1_2007__Herrmann 2  3__2005-08-10",5,1
"367","AD1_2007__Herrmann 2  4__2005-08-10",5,1
"368","AD1_2007__Herrmann 2  5__2005-08-10",5,1
"369","AD1_2007__Herrmann 2  6__2005-08-10",5,1
"370","AD1_2007__Herrmann 2  7__2005-08-10",5,1
"371","AD1_2007__Herrmann 2  8__2005-08-10",5,1
"372","AD1_2007__Herrmann 2  9__2005-08-10",5,1
"373","AD1_2007__Meyer 1  10__2005-05-27",7,3
"374","AD1_2007__Meyer 1  11__2005-05-27",8,3
"375","AD1_2007__Meyer 1  12__2005-05-27",6,2
"376","AD1_2007__Meyer 1  13__2005-05-27",8,3
"377","AD1_2007__Meyer 1  14__2005-05-27",7,3
"378","AD1_2007__Meyer 1  15__2005-05-27",5,1
"379","AD1_2007__Meyer 1  1__2005-05-27",9,4
"380","AD1_2007__Meyer 1  2__2005-05-27",7,3
"381","AD1_2007__Meyer 1  3__2005-05-27",10,5
"382","AD1_2007__Meyer 1  4__2005-05-27",8,4
"383","AD1_2007__Meyer 1  5__2005-05-27",6,2
