sample_id,phylo_div,SR
AD1_2007__Hatfield 1 228 77__2003-07-09,5,1
AD1_2007__Hatfield 1 228 78__2003-07-09,5,1
AD1_2007__Hatfield 1 242 112__2003-07-09,5,1
AD1_2007__Hatfield 1 242 113__2003-07-09,5,1
AD1_2007__Hatfield 1 242 114__2003-07-09,5,1
AD1_2007__Hatfield 1 242 52__2002-07-13,5,1
AD1_2007__Hatfield 1 242 53__2002-07-13,5,1
AD1_2007__Hatfield 1 242 54__2002-07-13,5,1
AD1_2007__Hatfield 1 251 19__2002-07-13,5,1
AD1_2007__Hatfield 1 251 20__2002-07-13,5,1
AD1_2007__Hatfield 1 251 21__2002-07-13,5,1
AD1_2007__Hatfield 1 251 79__2003-07-09,5,1
AD1_2007__Hatfield 1 251 80__2003-07-09,5,1
AD1_2007__Hatfield 1 251 81__2003-07-09,5,1
AD1_2007__Hatfield 1 255 22__2002-07-13,5,1
AD1_2007__Hatfield 1 255 23__2002-07-13,5,1
AD1_2007__Hatfield 1 255 24__2002-07-13,5,1
AD1_2007__Hatfield 1 255 82__2003-07-09,5,1
AD1_2007__Hatfield 1 255 83__2003-07-09,5,1
AD1_2007__Hatfield 1 255 84__2003-07-09,5,1
AD1_2007__Hatfield 1 282 25__2002-07-13,5,1
AD1_2007__Hatfield 1 282 26__2002-07-13,5,1
AD1_2007__Hatfield 1 282 27__2002-07-13,5,1
AD1_2007__Hatfield 1 282 85__2003-07-09,5,1
AD1_2007__Hatfield 1 282 86__2003-07-09,5,1
AD1_2007__Hatfield 1 282 87__2003-07-09,5,1
AD1_2007__Hatfield 1 292 28__2002-07-13,5,1
AD1_2007__Hatfield 1 292 29__2002-07-13,5,1
AD1_2007__Hatfield 1 292 30__2002-07-13,5,1
AD1_2007__Hatfield 1 292 88__2003-07-09,5,1
AD1_2007__Hatfield 1 292 89__2003-07-09,5,1
AD1_2007__Hatfield 1 292 90__2003-07-09,5,1
AD1_2007__Hatfield 1 303 31__2002-07-13,5,1
AD1_2007__Hatfield 1 303 32__2002-07-13,5,1
AD1_2007__Hatfield 1 303 33__2002-07-13,5,1
AD1_2007__Hatfield 1 303 91__2003-07-09,5,1
AD1_2007__Hatfield 1 303 92__2003-07-09,5,1
AD1_2007__Hatfield 1 303 93__2003-07-09,5,1
AD1_2007__Hatfield 1 329 34__2002-07-13,5,1
AD1_2007__Hatfield 1 329 35__2002-07-13,5,1
AD1_2007__Hatfield 1 329 36__2002-07-13,5,1
AD1_2007__Hatfield 1 329 94__2003-07-09,5,1
AD1_2007__Hatfield 1 329 95__2003-07-09,5,1
AD1_2007__Hatfield 1 329 96__2003-07-09,5,1
AD1_2007__Hatfield 1 366 37__2002-07-13,5,1
AD1_2007__Hatfield 1 366 38__2002-07-13,5,1
AD1_2007__Hatfield 1 366 39__2002-07-13,5,1
AD1_2007__Hatfield 1 366 97__2003-07-09,5,1
AD1_2007__Hatfield 1 366 98__2003-07-09,5,1
AD1_2007__Hatfield 1 366 99__2003-07-09,5,1
AD1_2007__Hatfield 1 367 100__2003-07-09,5,1
AD1_2007__Hatfield 1 367 101__2003-07-09,5,1
AD1_2007__Hatfield 1 367 102__2003-07-09,5,1
AD1_2007__Hatfield 1 367 40__2002-07-13,5,1
AD1_2007__Hatfield 1 367 41__2002-07-13,5,1
AD1_2007__Hatfield 1 371 103__2003-07-09,5,1
AD1_2007__Hatfield 1 371 104__2003-07-09,5,1
AD1_2007__Hatfield 1 371 105__2003-07-09,5,1
AD1_2007__Hatfield 1 371 43__2002-07-13,5,1
AD1_2007__Hatfield 1 371 44__2002-07-13,5,1
AD1_2007__Hatfield 1 376 106__2003-07-09,5,1
AD1_2007__Hatfield 1 376 107__2003-07-09,5,1
AD1_2007__Hatfield 1 376 108__2003-07-09,5,1
AD1_2007__Hatfield 1 376 46__2002-07-13,5,1
AD1_2007__Hatfield 1 396 118__2003-07-09,5,1
AD1_2007__Hatfield 1 396 119__2003-07-09,5,1
AD1_2007__Hatfield 1 396 120__2003-07-09,5,1
AD1_2007__Hatfield 1 396 58__2002-07-13,5,1
AD1_2007__Hatfield 1 396 60__2002-07-13,5,1
AD1_2007__Hatfield 1 601 109__2003-07-09,5,1
AD1_2007__Hatfield 1 601 110__2003-07-09,5,1
AD1_2007__Hatfield 1 601 111__2003-07-09,5,1
AD1_2007__Hatfield 1 601 49__2002-07-13,5,1
AD1_2007__Hatfield 1 601 50__2002-07-13,5,1
AD1_2007__Hatfield 1 601 51__2002-07-13,5,1
AD1_2007__Hatfield 1 606 115__2003-07-09,5,1
AD1_2007__Hatfield 1 606 116__2003-07-09,5,1
AD1_2007__Hatfield 1 606 117__2003-07-09,5,1
AD1_2007__Hatfield 1 606 55__2002-07-13,5,1
AD1_2007__Hatfield 1 606 56__2002-07-13,5,1
AD1_2007__Hatfield 1 606 57__2002-07-13,5,1
AD1_2007__Herrmann 1  10__2005-08-10,5,1
AD1_2007__Herrmann 1  11__2005-08-10,5,1
AD1_2007__Herrmann 1  12__2005-08-10,5,1
