GENUS_SPECIES,taxonomic_class
Enochrus quadripunctatus,Insecta
Enochrus testaceus,Insecta
Epinotia ramella,Insecta
Epinotia solandriana,Insecta
Harpalus griseus,Insecta
Harpalus smaragdinus,Insecta
Hydroporus angustatus,Insecta
Noctua interjecta,Insecta
Plusia festucae,Insecta
Teleiopsis diffinis,Insecta
Ypsolopha alpella,Insecta
Ypsolopha vittella,Insecta
Macdunnoughia confusa,Insecta
Agriphila selasella,Insecta
Anacampsis blattariella,Insecta
Apamea ophiogramma,Insecta
Atheta longicornis,Insecta
Bledius subniger,Insecta
Bledius tricornis,Insecta
Clavigesta purdeyi,Insecta
Cnephasia pasiuana,Insecta
Curculio venosus,Insecta
Eilema complana,Insecta
Eudonia truncicolella,Insecta
Eupithecia icterata,Insecta
Euxoa 'tritici',Insecta
Gelechia turpella,Insecta
Mythimna straminea,Insecta
Nehemitropia lividipennis,Insecta
Noctua janthina,Insecta
Phyllonorycter spinicolella,Insecta
Polygraphus poligraphus,Insecta
Stigmella ruficapitella,Insecta
Ypsolopha parenthesella,Insecta
Ypsolopha sylvella,Insecta
Abrostola triplasia,Insecta
Acleris aspersana,Insecta
Agriphila latistria,Insecta
Apotomis betuletana,Insecta
Archanara dissoluta,Insecta
Assara terebrella,Insecta
Bactra lancealana,Insecta
Bryotropha terrella,Insecta
Caloptilia alchimiella,Insecta
Camptogramma bilineata,Insecta
Caryocolum marmorea,Insecta
Cercyon analis,Insecta
Chiasmia clathrata,Insecta
Coleophora alcyonipennella,Insecta
Coleophora vestianella,Insecta
Cryptopleurum subtile,Insecta
Cydia amplana,Insecta
Dichrorampha simpliciana,Insecta
Endotricha flammealis,Insecta
Epirrhoe tristata,Insecta
Eupithecia innotata,Insecta
Eupithecia pusillata,Insecta
Eupithecia succenturiata,Insecta
Euzophora pinguis,Insecta
Gelechia muscosella,Insecta
Graphiphora augur,Insecta
Oegoconia caradjai,Insecta
Philhygra volans,Insecta
Phoesia gnoma,Insecta
Phyllonorycter geniculella,Insecta
Scrobipalpa acuminatella,Insecta
Stathmopoda pedella,Insecta
Stigmella floslactella,Insecta
Udea prunalis,Insecta
Watsonalla cultraria,Insecta
Xestia sexstrigata,Insecta
Yponomeuta plumbella,Insecta
Ypsolopha dentella,Insecta
Acleris rhombana,Insecta
Allophyes oxyacanthae,Insecta
Blepherita satura,Insecta
Ennomos alniaria,Insecta
Ennomos fuscantaria,Insecta
Euxoa obelisca,Insecta
Phyllonorycter coryli,Insecta
Thera obeliscata,Insecta
Xanthia gilvago,Insecta
Epinotia crenana,Insecta
Hoplodrina ambigua,Insecta
Aphodius rufipes,Insecta
Ennomos autumnaria,Insecta
Agrochola circellaris,Insecta
Colotois pennaria,Insecta
Epirrita christyi,Insecta
Parornix devoniella,Insecta
Rhizedra lutosa,Insecta
Acleris variegana,Insecta
Agrochola lota,Insecta
Agrochola lychnidis,Insecta
Eupsilia transversa,Insecta
Poecilocampa populi,Insecta
Udea ferrugalis,Insecta
Leiodes rufipennis,Insecta
Tinea pallescentella,Insecta
Argyresthia semitestacella,Insecta
Xanthia togata,Insecta
Exapate congelatella,Insecta
Cyphon hilaris,Insecta
Acronicta rumicis,Insecta
Agonopterix subpropinquella,Insecta
Cucullia chamomillae,Insecta
Heliozela sericiella,Insecta
Orthosia miniosa,Insecta
Xestobium plumbeum,Insecta
Alucita hexadactyla,Insecta
Anthrenus museorum,Insecta
Argyresthia laevigatella,Insecta
Capua vulgana,Insecta
Cochylis nana,Insecta
Diarsia mendica,Insecta
Ectoedemia subbimaculella,Insecta
Ernobius abietis,Insecta
Eupithecia intricata,Insecta
Sideridis albicolon,Insecta
Stigmella anomalella,Insecta
Stigmella oxyacanthella,Insecta
Aphodius plagiatus,Insecta
Apotomis sororculana,Insecta
Argyresthia fundella,Insecta
Bucculatrix bechsteiniella,Insecta
Cnephasia communana,Insecta
Cydia conicolana,Insecta
Lacanobia thalassina,Insecta
Nola confusalis,Insecta
Teleiodes proximella,Insecta
Tinea trinotella,Insecta
Apamea crenata,Insecta
Athrips tetrapunctella,Insecta
Coleophora caespititiella,Insecta
Enochrus melanocephalus,Insecta
Eupithecia centaureata,Insecta
Glyphipterix simplicella,Insecta
Rhyacionia pinivorana,Insecta
Teleiodes luculella,Insecta
Argyresthia glabratella,Insecta
Abrostola tripartita,Insecta
Ancylis badiana,Insecta
Atheta graminicola,Insecta
Callisto denticulella,Insecta
Chrysoesthia sexguttella,Insecta
Eupithecia linariata,Insecta
Herminia grisealis,Insecta
Heterocerus intermedius,Insecta
Nematopogon adansoniella,Insecta
Ocnerostoma friesei,Insecta
Pammene albuginana,Insecta
